Customer,Account,Region,Type,DocType,ItemCode,ItemDesc,DocNumber,OrderQty,ToQty,UnitPrice,MSP,UserName,FromDate,RefName,CompanyID
Thekweni Reinforcing,TH0110,Inner KZN,Below MSP,Sales Order,AW-3.15,Agricultural Wire 3.15mm,SO-45001,30,30,14.80,15.10,Johan van Wyk,2026-05-17,TH-REF-2400,HK-PC307
Buildmart SA,BM220,Gauteng,Below MSP,Sales Order,NL-90,Nails 90mm,SO-45002,100,100,8.50,8.60,Sipho Dlamini,2026-05-17,BM-SO-5700,HK-GAU01
Durban Hardware Supplies,DH019,Inner KZN,Below MSP,Sales Order,GW-2.5,Galvanised Wire 2.5mm,SO-45003,40,40,20.00,20.20,Sumanth Seerparsad,2026-05-17,DHS-PO-1300,HK-PC307
African Mesh Distributors,AM088,Cape Town,Below MSP,Sales Order,WM-50,Wire Mesh 50x50,SO-45004,15,15,30.90,31.20,Johan van Wyk,2026-05-17,AMD-SO-500,HK-DIST1
Zimsteel Trading,ZS301,Zimbabwe,Below MSP,Sales Order,AW-2.5,Agricultural Wire 2.5mm,SO-45005,60,60,13.90,14.10,Johan van Wyk,2026-05-17,ZST-PO-0900,HK-DIST1
Lesotho Building Materials,LB203,Lesotho,Below MSP,Sales Order,BW-2.5,Barbed Wire 2.5mm,SO-45006,40,40,17.90,18.20,Priya Naidoo,2026-05-17,LBM-ORD-400,HK-DIST1
Spa Warehouse Holdings,SW041,Outer KZN,Below MSP,Sales Order,HC-2.5,High Carbon Wire 2.5mm,SO-45007,22,22,20.40,20.60,Priya Naidoo,2026-05-17,SPA-ORD-0110,HK-PC307
Thekweni Reinforcing,TH0110,Inner KZN,Below MSP,Sales Order,FF-2.5,Field Fence 2.5mm,SO-45008,28,28,19.40,19.80,Johan van Wyk,2026-05-17,TH-REF-2401,HK-PC307
Buildmart SA,BM220,Gauteng,Below MSP,Sales Order,CT-16,Cap Tie 1.6mm,SO-45009,250,250,4.15,4.20,Sipho Dlamini,2026-05-17,BM-SO-5701,HK-GAU01
Durban Hardware Supplies,DH019,Inner KZN,Below MSP,Sales Order,NL-75,Nails 75mm,SO-45010,150,150,8.00,8.10,Sumanth Seerparsad,2026-05-17,DHS-PO-1301,HK-PC307
African Mesh Distributors,AM088,Cape Town,Below MSP,Sales Order,BW-2.0,Barbed Wire 2.0mm,SO-45011,45,45,14.20,14.40,Johan van Wyk,2026-05-17,AMD-SO-501,HK-DIST1
Zimsteel Trading,ZS301,Zimbabwe,Below MSP,Sales Order,GW-2.5,Galvanised Wire 2.5mm,SO-45012,38,38,19.10,19.40,Johan van Wyk,2026-05-17,ZST-PO-0901,HK-DIST1
Lesotho Building Materials,LB203,Lesotho,Below MSP,Sales Order,HC-3.15,High Carbon Wire 3.15mm,SO-45013,15,15,23.20,23.60,Priya Naidoo,2026-05-17,LBM-ORD-401,HK-DIST1
Thekweni Reinforcing,TH0110,Inner KZN,Below MSP,Sales Order,RF-IBR,Roofing IBR Sheet,SO-45014,45,45,41.10,41.50,Johan van Wyk,2026-05-17,TH-REF-2402,HK-PC307
Buildmart SA,BM220,Gauteng,Below MSP,Quote,AW-2.0,Agricultural Wire 2.0mm,QT-12400,55,55,11.90,12.10,Sipho Dlamini,2026-05-17,BM-QT-5702,HK-GAU01
Spa Warehouse Holdings,SW041,Outer KZN,Below MSP,Sales Order,WM-75,Wire Mesh 75x75,SO-45015,12,12,38.80,39.20,Priya Naidoo,2026-05-17,SPA-ORD-0111,HK-PC307
Durban Hardware Supplies,DH019,Inner KZN,Below MSP,Sales Order,GW-2.0,Galvanised Wire 2.0mm,SO-45016,35,35,22.60,22.80,Sumanth Seerparsad,2026-05-17,DHS-PO-1302,HK-PC307
